train | 1:6.86448 | 2:4.63378 | 3:4.78596
train | 1:6.78636 | 2:4.78160 | 3:4.96521
train | 1:6.87242 | 2:4.77102 | 3:4.93602
train | 1:6.89827 | 2:4.63658 | 3:4.79461
train | 1:6.99131 | 2:4.68820 | 3:4.85267
train | 1:6.98454 | 2:4.76371 | 3:4.92119
train | 1:6.66227 | 2:4.32676 | 3:4.51783
train | 1:6.82259 | 2:4.71155 | 3:4.84400
train | 1:7.04041 | 2:4.81588 | 3:4.98239
train | 1:6.83131 | 2:4.71016 | 3:4.85054
train | 1:6.61351 | 2:4.45129 | 3:4.63139
train | 1:6.71607 | 2:4.68009 | 3:4.83393
train | 1:6.59124 | 2:4.51155 | 3:4.65956
train | 1:6.74700 | 2:4.57274 | 3:4.69888
train | 1:6.96207 | 2:4.96913 | 3:5.08315
train | 1:7.09287 | 2:4.78948 | 3:4.88527
train | 1:6.82013 | 2:4.68878 | 3:4.80515
train | 1:6.61454 | 2:4.62678 | 3:4.76750
train | 1:6.54928 | 2:4.35057 | 3:4.50141
train | 1:6.84243 | 2:4.85885 | 3:4.96337
train | 1:6.81366 | 2:4.73587 | 3:4.87563
train | 1:6.59868 | 2:4.53557 | 3:4.66196
train | 1:6.79865 | 2:4.68511 | 3:4.81471
train | 1:6.70898 | 2:4.66671 | 3:4.82582
train | 1:6.86293 | 2:4.55021 | 3:4.69657
train | 1:6.96812 | 2:4.68404 | 3:4.76695
train | 1:6.83660 | 2:4.52031 | 3:4.64562
train | 1:6.70355 | 2:4.85914 | 3:4.99511
train | 1:6.81386 | 2:4.86551 | 3:5.02648
train | 1:6.83549 | 2:4.75044 | 3:4.88935
train | 1:6.78242 | 2:4.80435 | 3:4.94938
train | 1:6.75885 | 2:4.73082 | 3:4.87986
train | 1:7.02083 | 2:4.79504 | 3:4.93308
train | 1:6.57071 | 2:4.38448 | 3:4.48720
train | 1:6.57729 | 2:4.56482 | 3:4.75585
train | 1:6.77804 | 2:4.69818 | 3:4.89404
train | 1:6.68325 | 2:4.63039 | 3:4.78531
train | 1:6.64984 | 2:4.59166 | 3:4.74029
train | 1:7.11896 | 2:4.91007 | 3:5.03868
train | 1:6.76872 | 2:4.50326 | 3:4.56950
train | 1:6.91621 | 2:4.74572 | 3:4.88610
train | 1:6.51702 | 2:4.43784 | 3:4.57370
train | 1:6.80905 | 2:4.59552 | 3:4.70356
train | 1:6.66616 | 2:4.58312 | 3:4.70322
train | 1:6.90780 | 2:4.72584 | 3:4.83932
train | 1:6.74193 | 2:4.59085 | 3:4.72782
train | 1:6.70034 | 2:4.61991 | 3:4.77704
train | 1:6.88302 | 2:4.97313 | 3:5.10509
train | 1:6.83934 | 2:4.77533 | 3:4.88526
train | 1:6.75839 | 2:4.45270 | 3:4.59506
train | 1:6.71440 | 2:4.73340 | 3:4.90952
train | 1:6.98676 | 2:4.64848 | 3:4.74334
train | 1:6.66172 | 2:4.51921 | 3:4.66126
train | 1:6.74954 | 2:4.68198 | 3:4.83421
train | 1:6.87251 | 2:4.71723 | 3:4.87094
train | 1:6.54659 | 2:4.38074 | 3:4.53083
train | 1:6.47176 | 2:4.68412 | 3:4.80764
train | 1:6.65145 | 2:4.67011 | 3:4.82376
train | 1:6.85493 | 2:4.47462 | 3:4.66288
train | 1:6.77353 | 2:4.95495 | 3:5.08099
train | 1:6.36143 | 2:4.37009 | 3:4.51627
train | 1:6.60040 | 2:4.66214 | 3:4.81146
train | 1:6.34155 | 2:4.33238 | 3:4.46510
