train | 1:3.77507 | 2:3.17107 | 3:3.47385
train | 1:3.92255 | 2:3.29745 | 3:3.56061
train | 1:3.80497 | 2:3.15879 | 3:3.44162
train | 1:3.77109 | 2:3.25728 | 3:3.60703
train | 1:3.99399 | 2:3.39222 | 3:3.64558
train | 1:3.91541 | 2:3.24925 | 3:3.50619
train | 1:3.78020 | 2:3.07822 | 3:3.31308
train | 1:3.82659 | 2:3.19885 | 3:3.43842
train | 1:3.80943 | 2:3.22561 | 3:3.51257
train | 1:3.86427 | 2:3.27481 | 3:3.55217
train | 1:3.75877 | 2:3.24626 | 3:3.51362
train | 1:3.84268 | 2:3.22350 | 3:3.47117
train | 1:3.96012 | 2:3.48627 | 3:3.83021
train | 1:3.94313 | 2:3.47070 | 3:3.77019
train | 1:3.80470 | 2:3.29459 | 3:3.56551
train | 1:3.78110 | 2:3.15032 | 3:3.39450
train | 1:3.86044 | 2:3.34766 | 3:3.60308
train | 1:3.90269 | 2:3.31559 | 3:3.58326
train | 1:3.70662 | 2:3.21746 | 3:3.50223
train | 1:3.71577 | 2:3.15738 | 3:3.41252
train | 1:4.15005 | 2:3.74195 | 3:4.03168
train | 1:3.75250 | 2:3.26108 | 3:3.46328
train | 1:3.82368 | 2:3.15408 | 3:3.37855
train | 1:3.70230 | 2:3.16351 | 3:3.43127
train | 1:3.49250 | 2:2.90763 | 3:3.12579
train | 1:3.90396 | 2:3.39999 | 3:3.67570
train | 1:3.98634 | 2:3.50487 | 3:3.81915
train | 1:3.68839 | 2:3.17682 | 3:3.41169
train | 1:3.76463 | 2:3.26184 | 3:3.53279
train | 1:3.79677 | 2:3.32573 | 3:3.64150
train | 1:3.70486 | 2:3.04923 | 3:3.31491
train | 1:3.82287 | 2:3.36592 | 3:3.64682
train | 1:3.76209 | 2:3.27094 | 3:3.52899
train | 1:3.74355 | 2:3.20661 | 3:3.53289
train | 1:3.51619 | 2:3.08281 | 3:3.32488
train | 1:3.60650 | 2:3.00963 | 3:3.26302
train | 1:3.85419 | 2:3.41236 | 3:3.73519
train | 1:3.70867 | 2:3.18514 | 3:3.43530
train | 1:3.66264 | 2:3.21918 | 3:3.46220
train | 1:3.76892 | 2:3.40190 | 3:3.70977
train | 1:3.89068 | 2:3.41331 | 3:3.66530
