0 val 1:10.98923397064209 | 2:9.885680198669434
350 train 1:-5.822083473205566 | 2:-6.144330978393555
351 train 1:-5.74796199798584 | 2:-6.119144439697266
352 train 1:-5.863912105560303 | 2:-6.190386772155762
353 train 1:-5.9995198249816895 | 2:-6.290881156921387
354 train 1:-6.143301963806152 | 2:-6.426746368408203
355 train 1:-5.91054630279541 | 2:-6.133588790893555
356 train 1:-5.87410831451416 | 2:-6.200588226318359
357 train 1:-5.909791946411133 | 2:-6.207638740539551
358 train 1:-5.905501842498779 | 2:-6.261343002319336
359 train 1:-5.9285888671875 | 2:-6.253523826599121
360 train 1:-6.081707000732422 | 2:-6.423203945159912
361 train 1:-5.7458930015563965 | 2:-6.122130393981934
362 train 1:-6.022368431091309 | 2:-6.3243279457092285
363 train 1:-5.850116729736328 | 2:-6.2143964767456055
364 train 1:-5.815215110778809 | 2:-6.161607265472412
365 train 1:-5.842142105102539 | 2:-6.165318489074707
366 train 1:-6.048113822937012 | 2:-6.408928394317627
367 train 1:-5.990135192871094 | 2:-6.330270290374756
368 train 1:-5.791640281677246 | 2:-6.169068336486816
369 train 1:-5.731700897216797 | 2:-6.119141578674316
370 train 1:-5.957705020904541 | 2:-6.277261734008789
371 train 1:-5.968122959136963 | 2:-6.255764961242676
372 train 1:-5.882998466491699 | 2:-6.198522567749023
373 train 1:-5.8713531494140625 | 2:-6.1345534324646
374 train 1:-5.809087753295898 | 2:-5.840854167938232
375 train 1:-6.083157062530518 | 2:-6.427698135375977
376 train 1:-5.948401927947998 | 2:-6.310272216796875
377 train 1:-6.059026718139648 | 2:-6.348693370819092
378 train 1:-6.00834321975708 | 2:-6.315773010253906
379 train 1:-5.996707439422607 | 2:-6.319452285766602
380 train 1:-5.885283470153809 | 2:-6.247461318969727
381 train 1:-6.078298568725586 | 2:-6.364121437072754
382 train 1:-5.795742988586426 | 2:-6.1051926612854
383 train 1:-5.947303295135498 | 2:-6.293494701385498
